SubmitDate,VisibleFlare,ThiefHatchClosed,OpenThiefHatchClosed,IssueDetail,BusinessUnit,FACILITY_ID
2023-01-25 20:25:26.300000000,"No, one or more flares are not lit.",,,Flare not lit notified AJ pumper on site working on it ,Permian,10094676
2023-01-23 14:04:44.910000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10086011
2023-01-21 17:12:13.067000000,"No, one or more flares are not lit.",,,Well is shut in - Tank hatches are closed,Permian,10085776
2023-01-24 14:54:54.463000000,"No, one or more flares are not lit.",,,Well is shut in,Permian,10085529
2023-01-28 13:51:57.437000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085680
2023-01-21 17:33:14.370000000,"No, one or more flares are not lit.",,,Well is open and flowing. Mechanic on location working on flare. Tank hatches are closed. ,Permian,10086111
2023-01-30 19:07:20.797000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10086050
2023-01-23 16:29:01.167000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed,Permian,10085513
2023-01-31 14:27:17.157000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086103
2023-01-25 18:31:49.767000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10085516
2023-01-25 15:21:53.833000000,"No, one or more flares are not lit.",,,Well is shut in,Permian,10085529
2023-01-30 16:39:59.347000000,"No, one or more flares are not lit.",,,Well is open. Flare is not lit. Tank hatches are closed. ,Permian,10085776
2023-01-28 15:20:55.110000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085761
2023-01-22 14:57:34.927000000,"No, one or more flares are not lit.",,,HS State 113-20 Pad A no flare due to wells being shut in.,Permian,20000000
2023-01-30 15:28:30.417000000,"Yes, all flares are lit.","No, one or more of the thief hatches are open or unlatched.","Yes, hatch was closed.",,Permian,10167456
2023-01-22 13:45:13.420000000,"No, one or more flares are not lit.",,,Michael Toyek on location the well is flowing but flare is not lit notified AJ,Permian,10085893
2023-01-30 17:51:59.527000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086086
2023-01-29 19:44:52.697000000,"No, one or more flares are not lit.",,,Well shut in. Operator on location purging. Tank hatches are closed. ,Permian,10086085
2023-01-25 14:49:52.470000000,"No, one or more flares are not lit.",,,Well is shut in,Permian,10085538
2023-01-26 15:52:56.493000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085554
2023-01-28 20:24:51.440000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085539
2023-01-20 22:26:12.890000000,"No, one or more flares are not lit.",,,"Well is flowing - Flare is not lit, but doesn't sound like gas flowing to flare",Permian,10086111
2023-01-21 15:32:03.283000000,"No, one or more flares are not lit.",,,HS STATE 113-20 PAD A wells shut in.,Permian,20000000
2023-01-25 14:26:17.530000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086103
2023-01-21 15:05:34.947000000,,,,Well shut in / LOTO for construction ,Permian,10085528
2023-01-20 22:50:44.097000000,"No, one or more flares are not lit.",,,Well shut in - Hatches are closed ,Permian,10085614
2023-01-29 15:24:50.493000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085761
2023-01-25 14:13:43.140000000,"No, one or more flares are not lit.",,,HSS 113-10 B flare not lit well Shut in.,Permian,10085815
2023-01-30 20:15:33.347000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085461
2023-01-26 14:30:42.613000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are open. Roustabout crew on site.,Permian,10086103
2023-01-21 15:24:08.947000000,"No, one or more flares are not lit.",,,Well is open and flowing - Flare not lit. Mechanic is on location working on flare pilot - Tank hatches are closed ,Permian,10085547
2023-01-24 17:18:16.723000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed.,Permian,10085776
2023-01-31 13:37:30.673000000,"No, one or more flares are not lit.",,,Well is shut in and facility is under construction ,Permian,10085986
2023-01-21 19:15:39.520000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10085770
2023-01-30 13:22:34.537000000,"No, one or more flares are not lit.",,,Well is shut in and facility is under construction ,Permian,10085508
2023-01-20 20:32:59.317000000,"No, one or more flares are not lit.",,,Well is shut in - Tank hatches are closed,Permian,10085513
2023-01-22 13:51:55.670000000,"No, one or more flares are not lit.",,,Well is shut in and facility is under construction ,Permian,10085680
2023-01-27 13:18:41.053000000,"No, one or more flares are not lit.",,,"Well is shut in, and locked out ",Permian,10085508
2023-01-26 13:38:15.530000000,"No, one or more flares are not lit.",,,Well is  shut in and locked out ,Permian,10085986
2023-01-23 13:48:39.380000000,"No, one or more flares are not lit.",,,"Well is shut in, facility is under construction ",Permian,10085680
2023-01-31 16:44:07.563000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085776
2023-01-22 15:04:02.933000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10085513
2023-01-28 15:39:38.370000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085554
2023-01-26 14:09:48.977000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10086011
2023-01-21 20:07:38.810000000,"No, one or more flares are not lit.",,,State Lost and Found 57-T2-20X17 Pad A flare not lit talked to Michael Hany was on Pad troubleshooting WMT has been put in and automation is on the way.,Permian,10085517
2023-01-26 13:52:06.550000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085680
2023-01-20 23:40:36.710000000,"No, one or more flares are not lit.",,,Delah State 58-T2-48  Well is shut in.,Permian,10085941
2023-01-24 13:56:27.767000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085680
2023-01-27 13:48:07.923000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10213847
2023-01-29 14:33:45.707000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085552
2023-01-26 15:14:06.270000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO for construction ,Permian,10085528
2023-01-25 18:24:08.047000000,"No, one or more flares are not lit.",,,Well is shut in and locked out. Tank hatches are closed. ,Permian,10086087
2023-01-27 15:10:31.310000000,"Yes, all flares are lit.","No, one or more of the thief hatches are open or unlatched.","No, hatch is still open.","HSS STATE 113-20 Pad A hatch is partially closed, but the latch will not go full in lock position. I contacted my BPX representative, and they are sending an operator out.",Permian,20000000
2023-01-28 13:47:29.510000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085767
2023-01-22 14:01:12.597000000,"No, one or more flares are not lit.",,,Wells are shut in. Facility being worked on ,Permian,10213848
2023-01-24 13:59:40.920000000,"No, one or more flares are not lit.",,,Wells are shut-in ,Permian,10213848
2023-01-27 18:05:11.133000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10086086
2023-01-21 15:37:52.210000000,"No, one or more flares are not lit.",,,Well shut in and locked out - Tank hatches are closed,Permian,10085513
2023-01-21 13:48:37.097000000,"No, one or more flares are not lit.",,,"Well is shut in, facility is under construction ",Permian,10085680
2023-01-20 19:13:22.787000000,"No, one or more flares are not lit.",,,Well shut in,Permian,10213847
2023-01-25 20:47:23.940000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085524
2023-01-27 15:19:15.973000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085761
2023-01-30 19:48:25.350000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086088
2023-01-22 17:48:23.030000000,"No, one or more flares are not lit.",,,Well shut in. Operator on location opening well. Tank hatches are closed. ,Permian,10086084
2023-01-20 17:28:57.553000000,"No, one or more flares are not lit.",,,Well shut in / LOTO for construction ,Permian,10085528
2023-01-30 13:34:12.913000000,"No, one or more flares are not lit.",,,Well is shut in and facility is under construction ,Permian,10085986
2023-01-29 15:32:43.960000000,"No, one or more flares are not lit.",,,HS State 113-20 Pad A flare is not lit due to well being shut in. ,Permian,20000000
2023-01-31 13:54:29.320000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10213847
2023-01-28 18:12:17.193000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10086086
2023-01-24 14:01:58.543000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed.,Permian,10213847
2023-01-21 13:51:57.733000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10213848
2023-01-20 17:29:24.863000000,"No, one or more flares are not lit.",,,"Wells shut in, facility is under construction ",Permian,10086011
2023-01-31 14:22:03.450000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085576
2023-01-20 23:04:44.673000000,"No, one or more flares are not lit.",,,Well shut in - Compressor mechanics on location - Tank hatches are closed,Permian,10086084
2023-01-31 17:31:19.010000000,"No, one or more flares are not lit.",,,Well is shut in,Permian,10085519
2023-01-30 18:02:38.877000000,"No, one or more flares are not lit.",,,"Well is open, but not flowing. Compressor down. Tank hatches are closed. ",Permian,10086087
2023-01-24 16:51:59.720000000,"No, one or more flares are not lit.",,,Well is open. Flare not lit. Tank hatches are closed. ,Permian,10085769
2023-01-21 18:30:10.573000000,"No, one or more flares are not lit.",,,Well is shut in and locked out. Tank hatches are closed ,Permian,10086084
2023-01-20 23:09:50.930000000,"No, one or more flares are not lit.",,,"Flare for tanks is out, can hear gas. Power box has the pilot failure light on ",Permian,10085535
2023-01-20 19:39:46.300000000,"No, one or more flares are not lit.",,,Observed flare is not lit. Pilot not lit. Notified AJ immediately. Operator in route,Permian,10085681
2023-01-31 14:52:12.340000000,"No, one or more flares are not lit.",,,Well is flowing flair not lit noticed BPX representative Pumper is on sight working on it as well ,Permian,10085548
2023-01-29 17:59:07.253000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10086086
2023-01-27 20:01:34.643000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085539
2023-01-23 19:09:14.130000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed ,Permian,10086086
2023-01-22 13:47:00.250000000,"No, one or more flares are not lit.",,,Well shut in,Permian,10213847
2023-01-21 13:32:23.450000000,"No, one or more flares are not lit.",,,State Hope Springs 113-23X14 Pad A flare not lit cause well Shut in.,Permian,10090756
2023-01-26 20:25:17.570000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085524
2023-01-30 14:35:02.560000000,"No, one or more flares are not lit.",,,HSS STATE 113-20 Pad A flare not lit due to well being shut in.,Permian,20000000
2023-01-26 14:17:41.383000000,"No, one or more flares are not lit.",,,Well is shut in,Permian,10085538
2023-01-31 13:18:32.030000000,"No, one or more flares are not lit.",,,Well is shut in facility is under construction ,Permian,10085508
2023-01-24 13:52:44.893000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085767
2023-01-27 15:47:27.983000000,"No, one or more flares are not lit.",,,LP flare from heater treater not lit / contacted BPX representative ,Permian,10085556
2023-01-27 20:28:10.893000000,"No, one or more flares are not lit.",,,State Kate Olson  57-T2-8 A the flare is not lit. They have someone on lad working on the flare at the moment. The Well is still flowing currently. ,Permian,10090716
2023-01-27 15:31:45.917000000,"No, one or more flares are not lit.",,,Flare is not lit due to well being shut in ,Permian,10085554
2023-01-28 20:01:42.153000000,"No, one or more flares are not lit.",,,Alexander 58-T2-12 flare not lit well still flowing. ,Permian,10086104
2023-01-27 18:15:12.490000000,"No, one or more flares are not lit.",,,Well is open and flowing. Flare is not lit. Tank hatches are closed. ,Permian,10086087
2023-01-23 13:44:52.530000000,"No, one or more flares are not lit.",,,"Wells are shut in, facility is under construction ",Permian,10085767
2023-01-28 13:33:57.690000000,"No, one or more flares are not lit.",,,"Wells shut in, facility under construction ",Permian,10085518
2023-01-27 13:36:53.690000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085767
2023-01-24 14:34:03.620000000,"No, one or more flares are not lit.",,,Wells are shut in on HSS 113-10 B.,Permian,10085815
2023-01-26 16:59:01.797000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085776
2023-01-27 14:34:26.250000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085548
2023-01-20 17:11:25.993000000,"No, one or more flares are not lit.",,,"Well is shut-in, facility is under construction ",Permian,10085680
2023-01-25 14:22:40.013000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086103
2023-01-26 13:56:21.530000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10213847
2023-01-27 13:33:54.423000000,"No, one or more flares are not lit.",,,Well is shut in and locked out ,Permian,10085986
2023-01-24 20:55:20.270000000,"No, one or more flares are not lit.",,,Well is flowing flare is not lit notified AJ operator notified as well ,Permian,10094676
2023-01-20 16:05:12.680000000,"No, one or more flares are not lit.",,,State Hope Springs 113-23X14 is Shut in as well as ESP is Offline. ,Permian,10090756
2023-01-23 14:59:57.993000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO,Permian,10085528
2023-01-21 14:15:10.980000000,"No, one or more flares are not lit.",,,HSS 113-10b HP FLARE flame failure.,Permian,10085815
2023-01-24 18:25:40.190000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10085852
2023-01-30 14:56:44.133000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085547
2023-01-23 13:55:55.617000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10213848
2023-01-21 00:16:19.203000000,"No, one or more flares are not lit.",,,1H well shut in  2H well shows open notification to bpx rep operator in route,Permian,10086088
2023-01-20 22:52:15.403000000,"No, one or more flares are not lit.",,,Well shut in - Tank hatches are closed,Permian,10085614
2023-01-27 13:45:58.543000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085680
2023-01-31 14:09:57.100000000,"No, one or more flares are not lit.",,,Well is shut in,Permian,10085617
2023-01-20 20:19:24.263000000,,,,Horseshoe springs 113-10 there is some liquid on the ground behind compressor.,Permian,10085811
2023-01-24 13:44:24.537000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085893
2023-01-23 15:53:53.957000000,"No, one or more flares are not lit.",,,Wells shut in .,Permian,20000000
2023-01-26 13:44:08.167000000,"No, one or more flares are not lit.",,,Well is shut in locked out.,Permian,10085767
2023-01-30 15:42:57.620000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO for construction ,Permian,10085528
2023-01-29 13:45:18.113000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10213847
2023-01-30 14:19:48.327000000,"No, one or more flares are not lit.",,,Wells shut in. Tank hatches are closed. ,Permian,10086103
2023-01-24 20:23:43.807000000,"No, one or more flares are not lit.",,,Well is open flare not lit ,Permian,10085539
2023-01-27 19:22:56.087000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Roustabout crew on site.  Tank hatches are closed. ,Permian,10086085
2023-01-24 16:26:32.157000000,"No, one or more flares are not lit.",,,MDJ Minerals 58-T2-22 A flare not lit due to wells being shut in.,Permian,10085693
2023-01-28 18:22:00.820000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086087
2023-01-24 18:51:58.180000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086087
2023-01-21 13:54:04.630000000,"No, one or more flares are not lit.",,,Well is open and flowing. Flare is not lit - no gas to flare. Tank hatches are closed,Permian,10213847
2023-01-20 23:43:05.787000000,"No, one or more flares are not lit.",,,Well shut in - Tank hatches are closed,Permian,10085770
2023-01-28 15:20:25.160000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO for construction ,Permian,10085528
2023-01-21 14:00:46.203000000,"No, one or more flares are not lit.",,,"Wells are shut in, facility is under construction ",Permian,10086011
2023-01-31 15:43:56.783000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085554
2023-01-28 15:04:05.017000000,"No, one or more flares are not lit.",,,HS State 113-20 Pad A flare is not lit due to well being shut in.,Permian,20000000
2023-01-25 18:14:18.527000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10086086
2023-01-26 18:29:30.787000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086087
2023-01-22 14:12:14,"No, one or more flares are not lit.",,,"Wells shut in, facility under construction ",Permian,10086011
2023-01-29 16:28:09.270000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO for construction ,Permian,10085528
2023-01-21 15:01:17.517000000,"No, one or more flares are not lit.",,,Hs state 113-16 B flare has a fault.,Permian,10093596
2023-01-26 16:06:00.070000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10085463
2023-01-25 14:38:06.473000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085552
2023-01-25 16:49:12.260000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085776
2023-01-29 15:32:24.953000000,"No, one or more flares are not lit.",,,HS State 113-20 Pad A flare is not lit due to well being shut in. ,Permian,20000000
2023-01-29 13:53:13.987000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085680
2023-01-28 13:44:48,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10213847
2023-01-28 14:23:01.343000000,"No, one or more flares are not lit.",,,Wells shut in and locked out. Tank hatches are closed. ,Permian,10086103
2023-01-30 20:05:59.833000000,"No, one or more flares are not lit.",,,STATE KATE OLSON 57-T2-8 A the flare is not lit well still flowing.,Permian,10090716
2023-01-24 14:29:34.310000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085552
2023-01-21 00:14:29.940000000,"No, one or more flares are not lit.",,,Well is open. Flare is not lit compressor is running ,Permian,10085537
2023-01-30 13:30:39.207000000,"No, one or more flares are not lit.",,,Well is shut in and facility is under construction ,Permian,10085518
2023-01-29 13:39:08.783000000,"No, one or more flares are not lit.",,,"Wells are shut in, facility is under construction ",Permian,10085518
2023-01-24 21:38:56.677000000,"No, one or more flares are not lit.",,,"Well is open, but not flowing. Compressor is down. Flare is not lit. Tank hatches are closed. ",Permian,10085524
2023-01-25 15:54:19.860000000,"No, one or more flares are not lit.",,,Well shut in ,Permian,10085554
2023-01-31 15:15:15.303000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO,Permian,10085528
2023-01-25 13:51:26.257000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085767
2023-01-27 19:04:21.757000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10086089
2023-01-27 15:21:44.640000000,"No, one or more flares are not lit.",,,Well shut in / LOTO for construction ,Permian,10085528
2023-01-20 19:35:41.480000000,"No, one or more flares are not lit.",,,,Permian,10213847
2023-01-26 13:33:11.753000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10085518
2023-01-30 13:44:49.917000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10213847
2023-01-30 17:48:58.667000000,"No, one or more flares are not lit.",,,Flare not lit due to wells are shut in,Permian,10085681
2023-01-24 15:31:52.287000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085513
2023-01-30 18:42:07.823000000,"No, one or more flares are not lit.",,,Flare not lit / notified BPX representative ,Permian,10085523
2023-01-25 15:27:03.690000000,"No, one or more flares are not lit.",,,Well shut in / LOTO,Permian,10085528
2023-01-27 13:31:16.643000000,"No, one or more flares are not lit.",,,Wells are shut in and locked out ,Permian,10085518
2023-01-22 16:03:42.743000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO,Permian,10085528
2023-01-22 15:39:37.110000000,"No, one or more flares are not lit.",,,Flare from LP heater treater not lit. Notified BPX representative ,Permian,10085556
2023-01-20 17:23:32.003000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10213848
2023-01-26 15:43:44.150000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10600022
2023-01-31 13:33:13.147000000,"No, one or more flares are not lit.",,,Wells are shut in facility under construction ,Permian,10085518
2023-01-25 17:07:22.990000000,"No, one or more flares are not lit.",,,Well is open / flare not lit. Notified AJ at BPX,Permian,10086090
2023-01-20 16:41:44.383000000,"No, one or more flares are not lit.",,,The flare coming off the LP separator is not lit. Pilot is out. Flare is lit for HP separator/flash gas from tanks. Contacted AJ,Permian,10085558
2023-01-29 13:37:31.510000000,"No, one or more flares are not lit.",,,State Hope Springs 113-23X14 A flare is not lit due to well being shut in .,Permian,10090756
2023-01-31 14:34:28.537000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085552
2023-01-24 15:22:25.953000000,"No, one or more flares are not lit.",,,Well is flowing and flare not lit on the same pad is the State Burner 57-T1-45x40 pad A flare is not lit due to well being shut in ,Permian,10085548
2023-01-23 13:58:14.493000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed ,Permian,10213847
2023-01-25 14:08:51.873000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10213848
2023-01-26 14:00:38.047000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10213848
2023-01-22 16:48:27.987000000,"No, one or more flares are not lit.",,,Well open and flowing. Flare not lit - Tagged out for repairs. Tank hatches are closed. ,Permian,10086111
2023-01-20 17:08:41.130000000,"No, one or more flares are not lit.",,,"Well is shut-in, facility under construction ",Permian,10085767
2023-01-20 21:26:43.907000000,"No, one or more flares are not lit.",,,HS State 113-20 Pad A is shut in and esp Offline. The Well head is locked out and tagged.,Permian,20000000
2023-01-24 20:48:30.460000000,"No, one or more flares are not lit.",,,Alexander 58-T2-12 flare is not on but well is still flowing. ,Permian,10086104
